Source;Target;Weight;Type
AWARD CEREMONY NARRATOR (VOICE);AMIRA AHMED;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);COLONEL CRAIG;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);DEALER AT CRAPS TABLE;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);WOMAN AT CRAPS TABLE;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);ENGINEER;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);AIR FORCE OFFICER;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);WOMAN IN SUV;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);KID IN SUV;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);GULMIRA KID;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);GULMIRA MOM;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);REPORTER;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);FLIGHT ATTENDANT;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);AIR FORCE LIEUTENANT;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);ZORIANNA KIT;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);STAN'S GIRL;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);CAOC ANALYST";1;Undirected
HAPPY HOGAN;DIRECTOR NICK FURY;2;Undirected
HAPPY HOGAN;STAN LEE;1;Undirected
HAPPY HOGAN;GUARD;2;Undirected
HAPPY HOGAN;JIM CRAMER;1;Undirected
HAPPY HOGAN;ABU BAKAAR;1;Undirected
HAPPY HOGAN;GENERAL GABRIEL;1;Undirected
HAPPY HOGAN;WILLIAM GINTER RIVA;1;Undirected
HAPPY HOGAN;MAJOR ALLEN;2;Undirected
HAPPY HOGAN;JIMMY;1;Undirected
HAPPY HOGAN;PRATT;1;Undirected
HAPPY HOGAN;RAMIREZ;1;Undirected
HAPPY HOGAN;AHMED;1;Undirected
HAPPY HOGAN;OMAR;1;Undirected
HAPPY HOGAN;HOWARD STARK;2;Undirected
HAPPY HOGAN;VIPER 1;1;Undirected
HAPPY HOGAN;VIPER 2;1;Undirected
HAPPY HOGAN;AMIRA AHMED;1;Undirected
HAPPY HOGAN;COLONEL CRAIG;1;Undirected
HAPPY HOGAN;DEALER AT CRAPS TABLE;1;Undirected
HAPPY HOGAN;WOMAN AT CRAPS TABLE;1;Undirected
HAPPY HOGAN;ENGINEER;1;Undirected
HAPPY HOGAN;AIR FORCE OFFICER;1;Undirected
